date,Actual,GBM_Div,Implied_Vol,Implied_Vol_AV,Implied_Vol_EMS,Implied_Vol_CV
2023-09-27,1100.81,1094.727184661919,1097.6073928824549,1097.7634690431769,1097.762473221654,1097.782186890948
2023-09-28,1104.64,1099.7621074563488,1099.0181431420672,1098.9920340822707,1098.9919010848946,1099.1896972485524
2023-09-29,1105.49,1106.0781669638627,1102.9012583095418,1102.8477441269138,1102.8472947857342,1103.0756342677155
2023-10-02,1100.66,1101.004161734701,1100.0227412294926,1100.0565234239841,1100.0557574392458,1100.1976444794436
2023-10-03,1093.14,1102.0531567177084,1099.6828405503024,1099.6772998605686,1099.6766707916292,1099.855369839027
2023-10-04,1095.92,1091.8667113363028,1093.5261540546921,1093.5699738684566,1093.5685405053912,1093.6951703702957
2023-10-05,1092.53,1100.8707508637033,1098.8278322811352,1098.8431142868303,1098.843344427615,1098.9986679404965
2023-10-06,1101.96,1102.0479573911807,1097.5432778222525,1097.4217396474598,1097.4215900644379,1097.7148287512628
2023-10-09,1101.28,1107.9726719044775,1104.2829151594838,1104.302887852068,1104.3018280952742,1104.4541079852422
2023-10-10,1115.47,1115.4919282604737,1109.9434426085413,1109.9963556565508,1109.9952945762793,1110.115456347009
2023-10-11,1113.01,1122.0460155306178,1113.0873976293542,1113.020406736532,1113.018953567577,1113.2583987566836
2023-10-12,1115.65,1122.904062183899,1114.4531636834638,1114.473903973056,1114.4740766189777,1114.628526143555
2023-10-13,1109.03,1118.2261252851263,1111.3628495371865,1111.3995281758814,1111.3983571775536,1111.5348223827648
2023-10-16,1115.71,1113.2033391010868,1107.8603247133228,1107.9352535015935,1107.9336717850886,1108.0301406584103
2023-10-17,1115.1,1121.1689268323291,1112.3980242017685,1112.4381068937482,1112.4377582637546,1112.576715613304
2023-10-18,1108.82,1122.8145816833076,1112.5020055081613,1112.4887065164125,1112.48790259166,1112.6782984800561
2023-10-19,1103.09,1113.925907470382,1105.565967152931,1105.495579452748,1105.4943261731903,1105.7368540823652
2023-10-20,1093.92,1107.0446196157998,1101.9693117897968,1102.008387650768,1102.007060062453,1102.136370135717
2023-10-23,1094.05,1098.3723344037594,1095.3357222086133,1095.3189739271436,1095.317893838366,1095.50230757239
2023-10-24,1094.27,1099.0622645227709,1094.6748205238912,1094.5908002857643,1094.5897309310824,1094.839019473499
2023-10-25,1090.25,1103.3134954931759,1098.104765737145,1098.0777605884227,1098.0762116765532,1098.271092290388
2023-10-26,1081.49,1093.0957124416095,1091.3609065167082,1091.3277039777995,1091.3247859671608,1091.523904355422
2023-10-27,1081.05,1084.9709117894295,1085.4451979803143,1085.3966284827213,1085.398995913494,1085.6038960219919
2023-10-30,1082.03,1080.2992071691913,1082.509802140009,1082.4945151634681,1082.4952857388992,1082.6723511687792
2023-10-31,1086.65,1089.5664059709045,1088.720928468712,1088.7299303844964,1088.7295349327826,1088.8850464215961
2023-11-01,1092.66,1096.0302851242916,1094.4282668921087,1094.475059119891,1094.4766213184128,1094.5905394027961
2023-11-02,1105.86,1103.729331628388,1100.1279977349855,1100.1780958173892,1100.17814375427,1100.2918003582124
2023-11-03,1118.59,1122.4788614600466,1113.4008042728892,1113.4123594974176,1113.4124454375942,1113.5629069773058
2023-11-06,1118.63,1128.6409451593313,1117.6174986457288,1117.6014206868833,1117.6004388836327,1117.7836960709867
2023-11-07,1120.42,1132.4523747394894,1119.4700940034102,1119.3852335195743,1119.3842797028326,1119.636424470445
2023-11-08,1120.55,1133.973364049546,1121.0712521595462,1121.004601348664,1121.004012855411,1121.2364125201304
2023-11-09,1121.74,1133.2435747341322,1120.3642952510436,1120.3145897929287,1120.3135649402407,1120.534380066338
